Internship_ID,Title,Company,Description,Required_Education,Sector,Location,Skill_1,Skill_2,Skill_3,Skill_4
60,Technology Consultant Intern,IBM INDIA PRIVATE LIMITED,Advise clients on technology strategy and help implement new systems.,B.Tech/MCA,Consulting,Jaipur,IT Strategy,System Implementation,Digital Transformation,
61,Site Reliability Engineer Intern,GRASIM INDUSTRIES LTD,Help build and maintain the reliability of our large-scale production systems.,B.Tech,IT,Work From Home,Linux,Networking,Python,
62,Technology Consultant Intern,SAMMAAN CAPITAL LIMITED,Advise clients on technology strategy and help implement new systems.,B.Tech/MCA,Consulting,Work From Home,IT Strategy,System Implementation,Digital Transformation,
63,Business Intelligence Intern,BANDHAN BANK LIMITED,Create dashboards and reports to track key business metrics.,BBA/B.Com,Data Science,Work From Home,Power BI,Tableau,SQL,Data Warehousing
64,Brand Management Intern,BIOP STEELS & POWER PRIVATE LIMITED,Help develop and execute brand marketing strategies.,MBA (Marketing),FMCG,Work From Home,Marketing Strategy,Brand Positioning,Market Research,
65,Construction Management Intern,SHREE CEMENT LIMITED,Assist project managers with planning and executing construction projects.,B.Tech (Civil),Real Estate,Delhi,Project Management,AutoCAD,Site Supervision,
66,Backend Developer Intern,SERUM INSTITUTE LIFE SCIENCES PRIVATE LIMITED,"Work on developing server-side logic, APIs, and database integration for our flagship product.",B.Tech,IT,Pune,Python,Django,SQL,REST APIs
67,Software QA Intern,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,Perform quality assurance testing on software and services for our products.,B.Tech,IT,Hyderabad,Software Testing,QA,iOS,
68,Hotel Management Intern,CIPLA LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Mumbai,F&B Management,Housekeeping,Guest Relations,
69,Software QA Intern,UPL LIMITED,Perform quality assurance testing on software and services for our products.,B.Tech,IT,Chennai,Software Testing,QA,iOS,
70,Hotel Management Intern,SJVN LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Noida,F&B Management,Housekeeping,Guest Relations,
71,Data Analyst Intern,NUMALIGARH REFINERY LTD,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
72,Consumer Electronics Intern,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,"Assist in product marketing, market research, or technical support for home appliances or electronics.",BBA,Electronics,Kolkata,Marketing,Product Management,,
73,Human Resources Intern,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Work From home,MS Office,Communication,,
74,Human Resources Intern,NLC INDIA LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Delhi,MS Office,Communication,,
75,Data Analyst Intern,NATIONAL STOCK EXCHANGE OF INDIA LTD.,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Pune,Python,Pandas,SQL,Tableau
76,Power Systems Intern,THE ASSOCIATED BUILDING COMPANY LIMITED,Work on the design and analysis of electrical power systems.,B.Tech (Elec),Energy,Hyderabad,Power Electronics,Control Systems,MATLAB,
77,Brand Management Intern,DIVI S LABORATORIES LIMITED,Help develop and execute brand marketing strategies.,MBA (Marketing),FMCG,Gurugram,Marketing Strategy,Brand Positioning,Market Research,
78,Backend Developer Intern,INDIAN RAILWAY FINANCE CORPORATION LIMITED,"Work on developing server-side logic, APIs, and database integration for our flagship product.",B.Tech,IT,Jaipur,Python,Django,SQL,REST APIs
79,Software QA Intern,LTIMINDTREE LIMITED,Perform quality assurance testing on software and services for our products.,B.Tech,IT,Work From Home,Software Testing,QA,iOS,
80,Sports Management Intern,ZOHO CORPORATION PRIVATE LIMITED,Assist with the planning and execution of sporting events.,BBA (Sports Mgmt),Sports,Gurugram,Event Planning,Sponsorship,Athlete Management,
81,Strategy & Analytics Intern,ACC LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Jaipur,Analytics,PowerPoint,Excel,
82,Medical Research Intern,SUN TV NETWORK LIMITED,Assist with ongoing clinical research projects and data analysis.,MBBS/B.Pharm,Healthcare,Pune,Clinical Trials,Data Collection,Statistical Analysis,
83,Sales & Marketing Intern,CENTRAL COALFIELDS LIMITED,"Support the sales team with market analysis, distributor management, and promotional activities.",MBA (Marketing),FMCG,Delhi,Sales,FMCG,Marketing,
84,Quality Control Intern,TITAN COMPANY LIMITED,Perform quality checks and tests on products to ensure they meet standards.,B.Sc (Chemistry)/B.Tech,Manufacturing,Work From Home,Six Sigma,ISO 9001,Statistical Process Control,
85,Human Resources Intern,SIKKA PORTS & TERMINALS LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Pune,MS Office,Communication,,
86,Data Analyst Intern,DR.REDDY S LABORATORIES LTD,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Work From Home,Python,Pandas,SQL,Tableau
87,Hotel Management Intern,M.P. AGROTONICS LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Chennai,F&B Management,Housekeeping,Guest Relations,
88,Sales & Marketing Intern,BRITANNIA INDUSTRIES LTD,"Support the sales team with market analysis, distributor management, and promotional activities.",MBA (Marketing),FMCG,Ahmedabad,Sales,FMCG,Marketing,
89,Recruitment Intern,HINDALCO INDUSTRIES LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Work From Home,Sourcing,Interviewing,Applicant Tracking Systems,
90,Recruitment Intern,JAMNAGAR UTILITIES & POWER PRIVATE LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Jaipur,Sourcing,Interviewing,Applicant Tracking Systems,
91,Backend Developer Intern,RECKITT BENCKISER (INDIA) PRIVATE LIMITED,"Work on developing server-side logic, APIs, and database integration for our flagship product.",B.Tech,IT,Jaipur,Python,Django,SQL,REST APIs
92,UI/UX Design Intern,BHARAT ALUMINIUM CO LTD,"Create wireframes, mockups, and prototypes for our web and mobile applications.",Any Graduate,Design,Jaipur,Figma,Adobe XD,Wireframing,Prototyping
93,Data Analyst Intern,HYUNDAI MOTOR INDIA LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Noida,Python,Pandas,SQL,Tableau
94,Sports Management Intern,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,Assist with the planning and execution of sporting events.,BBA (Sports Mgmt),Sports,Ahmedabad,Event Planning,Sponsorship,Athlete Management,
95,Full Stack Developer Intern,NATIONAL ALUMINIUM CO LTD,Contribute to both front-end and back-end development of our web applications.,B.Tech,IT,Kolkata,JavaScript,Node.js,React,MongoDB
96,Brand Management Intern,BENGAL FINANCE AND INVESTMENT PRIVATE LIMITED,Help develop and execute brand marketing strategies.,MBA (Marketing),FMCG,Chennai,Marketing Strategy,Brand Positioning,Market Research,
97,UI/UX Design Intern,BHARAT ELECTRONICS LIMITED,"Create wireframes, mockups, and prototypes for our web and mobile applications.",Any Graduate,Design,Jaipur,Figma,Adobe XD,Wireframing,Prototyping
98,Digital Marketing Intern,SUN PHARMA LABORATORIES LIMITED,"Assist with online advertising campaigns, email marketing, and social media.",BBA/MBA,Marketing,Gurugram,SEM,PPC,Email Marketing,Google Analytics
99,Cloud Engineering Intern,THE SINGARENI COLLIERIES COMPANY LIMITED,"Work with our cloud infrastructure team to deploy, manage, and monitor cloud services.",B.Tech,IT,Chennai,AWS,Azure,Docker,Kubernetes
100,Recruitment Intern,SBI CARDS AND PAYMENT SERVICES LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Hyderabad,Sourcing,Interviewing,Applicant Tracking Systems,
101,Recruitment Intern,ZYDUS LIFESCIENCES LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Work From Home,Sourcing,Interviewing,Applicant Tracking Systems,
102,Financial Analyst Intern,THE FEDERAL BANK LTD,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Mumbai,Excel,Financial Modeling,Valuation,
103,Strategy & Analytics Intern,PIRAMAL CAPITAL & HOUSING FINANCE LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Kolkata,Analytics,PowerPoint,Excel,
104,Hotel Management Intern,WINSOL SOLAR FIELDS (POLEPALLY) PRIVATE LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Ahmedabad,F&B Management,Housekeeping,Guest Relations,
105,Strategy & Analytics Intern,ZEE ENTERTAINMENT ENTERPRISES LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Noida,Analytics,PowerPoint,Excel,
106,Site Reliability Engineer Intern,GLENMARK PHARMACEUTICALS LIMITED,Help build and maintain the reliability of our large-scale production systems.,B.Tech,IT,Jaipur,Linux,Networking,Python,
107,Software QA Intern,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,Perform quality assurance testing on software and services for our products.,B.Tech,IT,Delhi,Software Testing,QA,iOS,
108,Technology Consultant Intern,ODISHA MINING CORPORATION LIMITED,Advise clients on technology strategy and help implement new systems.,B.Tech/MCA,Consulting,Gurugram,IT Strategy,System Implementation,Digital Transformation,
109,Recruitment Intern,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Hyderabad,Sourcing,Interviewing,Applicant Tracking Systems,
110,Marketing Intern,LUPIN LIMITED,"Assist in creating social media campaigns, writing blog posts, and analyzing marketing data.",BBA,Marketing,Delhi,Social Media Marketing,Content Writing,SEO,
111,Recruitment Intern,AVENUE SUPERMARTS LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Chennai,Sourcing,Interviewing,Applicant Tracking Systems,
112,Financial Analyst Intern,PERNOD RICARD INDIA PRIVATE LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Delhi,Excel,Financial Modeling,Valuation,
113,Sports Management Intern,EICHER MOTORS LIMITED,Assist with the planning and execution of sporting events.,BBA (Sports Mgmt),Sports,Delhi,Event Planning,Sponsorship,Athlete Management,
114,Financial Analyst Intern,DABUR INDIA LIMITED,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Hyderabad,Excel,Financial Modeling,Valuation,
115,Full Stack Developer Intern,ZERODHA BROKING LIMITED,Contribute to both front-end and back-end development of our web applications.,B.Tech,IT,Kolkata,JavaScript,Node.js,React,MongoDB
116,Human Resources Intern,GODREJ CONSUMER PRODUCTS LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Jaipur,MS Office,Communication,,
117,Digital Marketing Intern,MANAPPURAM FINANCE LIMITED,"Assist with online advertising campaigns, email marketing, and social media.",BBA/MBA,Marketing,Ahmedabad,SEM,PPC,Email Marketing,Google Analytics
118,Site Reliability Engineer Intern,SIEMENS LIMITED,Help build and maintain the reliability of our large-scale production systems.,B.Tech,IT,Delhi,Linux,Networking,Python,
119,HR Generalist Intern,HDFC ASSET MANAGEMENT COMPANY LIMITED,"Assist with day-to-day HR operations, including employee relations and benefits.",MBA,HR,Gurugram,Employee Relations,Onboarding,HR Policies,
120,Consumer Electronics Intern,PIDILITE INDUSTRIES LIMITED,"Assist in product marketing, market research, or technical support for home appliances or electronics.",BBA,Electronics,Gurugram,Marketing,Product Management,,
121,Management Consultant Intern,MPHASIS LIMITED,"Work on client projects, conducting research and analysis to solve business problems.",MBA/B.Tech,Consulting,Work From Home,Problem Solving,Data Analysis,Client Communication,
122,Recruitment Intern,ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Delhi,Sourcing,Interviewing,Applicant Tracking Systems,
123,Hotel Management Intern,TANJORE POWER LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Hyderabad,F&B Management,Housekeeping,Guest Relations,
124,Recruitment Intern,CONTAINER CORPORATION OF INDIA LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Chennai,Sourcing,Interviewing,Applicant Tracking Systems,
125,Hotel Management Intern,CHAMBAL FERTILISERS AND CHEMICALS LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
126,Power Systems Intern,ADANI HARBOUR SERVICES LIMITED,Work on the design and analysis of electrical power systems.,B.Tech (Elec),Energy,Work From Home,Power Electronics,Control Systems,MATLAB,
127,Full Stack Developer Intern,MANKIND PHARMA LIMITED,Contribute to both front-end and back-end development of our web applications.,B.Tech,IT,Ahmedabad,JavaScript,Node.js,React,MongoDB
128,Backend Developer Intern,YARROW INFRASTRUCTURE PRIVATE LIMITED,"Work on developing server-side logic, APIs, and database integration for our flagship product.",B.Tech,IT,Ahmedabad,Python,Django,SQL,REST APIs
129,Data Scientist Intern,RUNGTA MINES LIMITED,Develop and deploy machine learning models to solve business problems.,B.Tech/M.Tech,Data Science,Work From Home,Python,R,Machine Learning,Statistics
130,Travel Operations Intern,SBI LIFE INSURANCE COMPANY LIMITED,"Assist with booking, scheduling, and other travel logistics.",B.A. (Tourism),Travel & Hospitality,Gurugram,Booking Systems,Itinerary Planning,Vendor Management,
131,Strategy & Analytics Intern,COROMANDEL INTERNATIONAL LIMITED,"Assist consultants in gathering data, performing analysis, and creating client presentations.",Any Graduate,Consulting,Jaipur,Analytics,PowerPoint,Excel,
132,Full Stack Developer Intern,HONDA MOTORCYCLE AND SCOOTER INDIA PVT LTD,Contribute to both front-end and back-end development of our web applications.,B.Tech,IT,Pune,JavaScript,Node.js,React,MongoDB
133,Manufacturing Intern,APPLE INDIA PRIVATE LIMITED,Support the production team in optimizing manufacturing processes.,B.Tech (Mech/Prod),Automobile,Chennai,Lean Manufacturing,Six Sigma,Process Improvement,
134,Hotel Management Intern,SUN PHARMACEUTICAL INDUSTRIES LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
135,Digital Marketing Intern,BAJAJ ALLIANZ GENERAL INSURANCE COMPANY LIMITED,"Assist with online advertising campaigns, email marketing, and social media.",BBA/MBA,Marketing,Pune,SEM,PPC,Email Marketing,Google Analytics
136,Frontend Developer Intern,BOSCH LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Chennai,HTML,CSS,JavaScript,React
137,Production Intern,JOHNSON & JOHNSON PRIVATE LIMITED,Learn and assist in the day-to-day manufacturing and production operations.,B.Tech (Prod/Mech),Manufacturing,Work From Home,Manufacturing Processes,Safety,Quality Control,
138,Human Resources Intern,JINDAL ALUMINIUM LIMITED.,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Work From Home,MS Office,Communication,,
139,Mechanical Engineer Intern,BALKRISHNA INDUSTRIES LIMITED,"Work on the design, analysis, and testing of mechanical components.",B.Tech (Mech),Automobile,Hyderabad,AutoCAD,SolidWorks,CATIA,
140,Frontend Developer Intern,THDC INDIA LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Work From Home,HTML,CSS,JavaScript,React
141,Real Estate Analyst Intern,GOOGLE IT SERVICES INDIA PRIVATE LIMITED,Analyze real estate investment opportunities and market trends.,MBA/BBA,Real Estate,Jaipur,Financial Modeling,Market Analysis,Real Estate Valuation,
142,Hospitality Intern,USV PRIVATE LIMITED,Gain experience in hotel operations and guest services.,BHM,Travel & Hospitality,Gurugram,Customer Service,Event Management,Front Office Operations,
143,Human Resources Intern,MACLEODS PHARMACEUTICALS LTD,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Chennai,MS Office,Communication,,
144,Recruitment Intern,HDB FINANCIAL SERVICES LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Work From Home,Sourcing,Interviewing,Applicant Tracking Systems,
145,Brand Management Intern,MRF LIMITED,Help develop and execute brand marketing strategies.,MBA (Marketing),FMCG,Work From Home,Marketing Strategy,Brand Positioning,Market Research,
146,Sports Marketing Intern,TATA MOTORS LIMITED,Help create and implement marketing campaigns for our sports brand.,MBA (Marketing),Sports,Hyderabad,Digital Marketing,Brand Partnerships,Fan Engagement,
147,Digital Marketing Intern,COLGATE-PALMOLIVE (INDIA) LIMITED,"Assist with online advertising campaigns, email marketing, and social media.",BBA/MBA,Marketing,Ahmedabad,SEM,PPC,Email Marketing,Google Analytics
148,Sports Marketing Intern,ICICI SECURITIES LIMITED,Help create and implement marketing campaigns for our sports brand.,MBA (Marketing),Sports,Jaipur,Digital Marketing,Brand Partnerships,Fan Engagement,
